id,title,content,difficulty,creatorID,creationTimestamp
1090f630-2c69-45ca-bcc7-22600148a289,Cut fast.,"Treat century appear thing. Democratic ever bad put. Heavy place benefit off hair effect win pull.
Ever coach class society before.",Beginner,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
c7687dc6-295f-49c7-89d4-ea6907b6d25c,Less make full.,"Despite month religious cover parent. And store two during.
Staff phone way fine century kitchen stop. Realize story you task including dinner.",Beginner,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
9df191e3-6b04-49c8-8a7e-4dd827fbfdc4,Hit money herself.,"Impact few ahead music bit. Involve marriage goal environment act sometimes.
Exist return sister model. Edge best rise. Us good hundred for make fear democratic.",Advanced,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
8a2df628-9acb-408d-b465-e03ed8d7b930,Model forward avoid.,Ball people general surface writer animal run try. Within everyone fish friend class real.,Beginner,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
b1613772-e047-435b-befb-ce234e04e982,Situation country condition include.,Skill decision likely order business care. Time tax soldier authority however security assume. Clear case including seek husband. Bed response until prove shake particularly away.,Beginner,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
7c2eb754-44cf-4cc0-abb4-85852bc2f071,Up myself father.,Second born whether use. Between character far history several carry.,Advanced,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
8796b8f9-52cc-4b5d-9612-bc0a34595741,Test various.,Improve recently day evidence. Interesting full whom force my. Specific himself score west perhaps space around senior.,Advanced,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
943b99ce-b464-41df-a1b0-a116d2d65bc8,Industry difference.,Wait nation long season. Thus executive student information up boy. Still road remain ever same.,Advanced,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
379907f3-3d4e-48ba-b33a-0c1cbe0d1f16,Shoulder no.,"Manager trial specific common staff magazine. Beat boy ability.
Piece especially expect out building spend mother. During commercial someone rich senior thank arrive.",Intermediate,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
d8b02c85-ead9-461b-aefa-fa0a3f30906b,Oil newspaper.,Learn upon raise evidence leg very. Safe home social government site three human. Building themselves quickly idea field.,Beginner,ebece7fa-085e-4fce-a00e-2aba6541e961,2024-05-02T02:58:21.563104+00:00
